Keyword/Topic,Industry,Region,Year,Numeric Value (in billions),Growth Rate,Key Players,Trends
AI market size,AI,Global,2020,"108,4",-,,
AI market size,AI,Global,2021,"227,6","110,00%",,
AI market size,AI,Global,2022,"134,8","-40,80%",,
AI market size,AI,Global,2023,"241,8","79,40%",,
AI market size,AI,Global,2024,"305,9","26,50%",,
AI market size,AI,Global,2025,"370,2","21,00%",,
AI market size,AI,Global,2026,"445,9","20,50%",,
AI market size,AI,Global,2027,"511,3","14,70%",,
AI market size,AI,Global,2028,"584,8","14,40%",,
AI market size,AI,Global,2029,"659,5","12,80%",,
AI market size,AI,Global,2030,"738,7","12,00%",,
,,,,,,,
AI revenue,AI,Global,2021,"95,6",-,,
AI revenue,AI,Global,2022,"142,3","48,85%",,
AI revenue,AI,Global,2023,"207,9","46,10%",,
AI revenue,AI,Global,2024,"298,2","43,42%",,
AI revenue,AI,Global,2025,"420,5","41,01%",,
AI revenue,AI,Global,2026,"582,9","38,63%",,
AI revenue,AI,Global,2027,"795,4","36,45%",,
AI revenue,AI,Global,2028,"1068,7","34,37%",,
AI revenue,AI,Global,2029,"1415,1","32,42%",,
AI revenue,AI,Global,2030,"1847,5","30,55%",,
,,,,,,,
NLP Market Revenue,NLP,Global,2020,"11,6",-,,
NLP Market Revenue,NLP,Global,2021,14,"20,69%",,
NLP Market Revenue,NLP,Global,2022,"16,8","20,00%",,
NLP Market Revenue,NLP,Global,2023,"20,2","20,24%",,
NLP Market Revenue,NLP,Global,2024,"24,3","20,30%",,
NLP Market Revenue,NLP,Global,2025,"29,2","20,16%",,
NLP Market Revenue,NLP,Global,2026,"35,1","20,21%",,
,,,,,,,
Robotic AI Revenue,Robotics,Global,2021,"6,9",-,,
Robotic AI Revenue,Robotics,Global,2022,"9,4","36,23%",,
Robotic AI Revenue,Robotics,Global,2023,"12,8","36,17%",,
Robotic AI Revenue,Robotics,Global,2024,"17,4","35,94%",,
Robotic AI Revenue,Robotics,Global,2025,"23,3","33,91%",,
Robotic AI Revenue,Robotics,Global,2026,"30,9","32,62%",,
Robotic AI Revenue,Robotics,Global,2027,"40,2","30,10%",,
Robotic AI Revenue,Robotics,Global,2028,"51,2","27,36%",,
Robotic AI Revenue,Robotics,Global,2029,"63,9","24,80%",,
Robotic AI Revenue,Robotics,Global,2030,"77,7","21,60%",,
,,,,,,,
AI Software Revenue,Software,Global,2018,"10,1",-,,
AI Software Revenue,Software,Global,2019,"14,7","45,54%",,
AI Software Revenue,Software,Global,2020,"22,6","53,74%",,
AI Software Revenue,Software,Global,2021,"34,9","54,42%",,
AI Software Revenue,Software,Global,2022,"51,3","46,99%",,
AI Software Revenue,Software,Global,2023,"70,9","38,21%",,
AI Software Revenue,Software,Global,2024,"94,4","33,15%",,
AI Software Revenue,Software,Global,2025,126,"33,47%",,
,,,,,,,
AI Hardware Revenue,Hardware,Global,2018,"19,6",-,,
AI Hardware Revenue,Hardware,Global,2019,"42,3","115,82%",,
AI Hardware Revenue,Hardware,Global,2020,"71,7","69,50%",,
AI Hardware Revenue,Hardware,Global,2021,"103,6","44,49%",,
AI Hardware Revenue,Hardware,Global,2022,"140,8","35,91%",,
AI Hardware Revenue,Hardware,Global,2023,"170,9","21,38%",,
AI Hardware Revenue,Hardware,Global,2024,"206,6","20,89%",,
AI Hardware Revenue,Hardware,Global,2025,"234,6","13,55%",,
,,,,,,,
Big Data Analytics Market Size,Big Data,Global,2021,"240,6",-,,
Big Data Analytics Market Size,Big Data,Global,2022,"271,8","12,97%",,
Big Data Analytics Market Size,Big Data,Global,2023,"308,3","13,43%",,
Big Data Analytics Market Size,Big Data,Global,2024,"349,6","13,40%",,
Big Data Analytics Market Size,Big Data,Global,2025,"396,4","13,39%",,
Big Data Analytics Market Size,Big Data,Global,2026,"449,5","13,40%",,
Big Data Analytics Market Size,Big Data,Global,2027,"509,8","13,41%",,
Big Data Analytics Market Size,Big Data,Global,2028,"578,1","13,40%",,
Big Data Analytics Market Size,Big Data,Global,2029,"655,5","13,39%",,
,,,,,,,
AI Startup Funding,AI Start-Ups,Global,2015,"6,3",-,,
,,,2016,"8,4","33,33%",,
,,,2017,"18,2","116,67%",,
,,,2018,"27,3","50,00%",,
,,,2019,31,"13,55%",,
,,,2020,"32,5","4,84%",,
,,,2021,"69,7","114,46%",,
,,,2022,"45,8","-34,29%",,
,,,,,,,
,,,,,,,
AI market size,CV,Global,2021,28,"137,00%",,
AI market size,CV,Global,2022,14,"-50,00%",,
AI market size,CV,Global,2023,19,"36,00%",,
AI market size,CV,Global,2024,21,"11,00%",,
AI market size,ML,Global,2021,137,"96,00%",,
AI market size,ML,Global,2022,78,"-43,00%",,
AI market size,ML,Global,2023,160,"105,00%",,
AI market size,ML,Global,2024,195,"22,00%",,
AI market size,AIR,Global,2021,4,"150,00%",,
AI market size,AIR,Global,2022,8,"100,00%",,
AI market size,AIR,Global,2023,13,"63,00%",,
AI market size,AIR,Global,2024,19,"46,00%",,
AI market size,AST,Global,2021,30,"210,00%",,
AI market size,AST,Global,2022,11,"-63,00%",,
AI market size,AST,Global,2023,20,"82,00%",,
AI market size,AST,Global,2024,24,"20,00%",,
AI market size,NLP,Global,2021,25,"150,00%",,
AI market size,NLP,Global,2022,18,"-28,00%",,
AI market size,NLP,Global,2023,23,"28,00%",,
AI market size,NLP,Global,2024,26,"13,00%",,
AI market size,Banking,Global,2023,"32,4",,,
AI market size,Retail,Global,2023,"30,95",,,
AI market size,Professional services,Global,2023,"25,15",,,
AI market size,Discrete manufacturing,Global,2023,"22,97",,,
AI market size,Process manufacturing,Global,2023,"17,17",,,
AI market size,Other,Global,2023,"112,92",,,
,,,,,,,
,,,,,,,
AI investement,Generative AI - Broad use cases: LLM platforms and search engines development,Global,2023,"12,9",975%,,
AI investement,Generative AI - B2B applications: AI to improve business productivity and enterprise functions,Global,2023,"3,3","0,00%",,
AI investement,Generative AI - Software infrastructure: leverage machine learning/natural,Global,2023,3,"114,00%",,
AI investement,Generative AI - Consumer applications: generate AI services and platforms to,Global,2023,"0,5","-29,00%",,
AI investement,Generative AI - Hardware: advanced computing infrastructure and devices to power scaled intelligence models/accelerate processing speeds,Global,2023,"0,2","-60,00%",,
AI investement,Generative AI - Total,Global,2023,"19,8","179,00%",,
,,,,,,,
AI startup funding,AI,US,Q4 2023,"3,8",,,
AI startup funding,AI,Europe,Q4 2023,"1,8",,,
AI startup funding,AI,Asia,Q4 2023,"1,2",,,
AI startup funding,AI,Canada,Q4 2023,"0,1",,,
